127.0.0.1, 2015-06-16 09:32:18, GET, /admin/default/site, HTTP/1.1, 200, 0.077916
127.0.0.1, 2015-06-16 09:32:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000326
127.0.0.1, 2015-06-16 09:32:37, GET, /admin/default/site, HTTP/1.1, 200, 0.073853
127.0.0.1, 2015-06-16 09:32:37, GET, /admin/static/_2.11.2/css/calendar.css, HTTP/1.1, 304, 0.003115
127.0.0.1, 2015-06-16 09:32:37, GET, /admin/static/_2.11.2/js/jquery.js, HTTP/1.1, 304, 0.004078
127.0.0.1, 2015-06-16 09:32:37, GET, /admin/static/_2.11.2/js/calendar.js, HTTP/1.1, 304, 0.001306
127.0.0.1, 2015-06-16 09:32:37, GET, /admin/static/_2.11.2/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001950
127.0.0.1, 2015-06-16 09:32:37, GET, /admin/static/_2.11.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.001840
127.0.0.1, 2015-06-16 09:32:37, GET, /admin/static/_2.11.2/js/web2py.js, HTTP/1.1, 304, 0.002993
127.0.0.1, 2015-06-16 09:32:37, GET, /admin/static/_2.11.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.001085
127.0.0.1, 2015-06-16 09:32:37, GET, /admin/static/_2.11.2/css/bootstrap.min.css, HTTP/1.1, 304, 0.000909
127.0.0.1, 2015-06-16 09:32:37, GET, /admin/static/_2.11.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000493
127.0.0.1, 2015-06-16 09:32:37, GET, /admin/static/_2.11.2/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000547
127.0.0.1, 2015-06-16 09:32:37, GET, /admin/static/_2.11.2/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001050
127.0.0.1, 2015-06-16 09:32:37, GET, /admin/static/_2.11.2/js/bootstrap.min.js, HTTP/1.1, 304, 0.000593
127.0.0.1, 2015-06-16 09:32:37, GET, /admin/static/_2.11.2/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000449
127.0.0.1, 2015-06-16 09:32:37, GET, /admin/static/_2.11.2/images/questions.png, HTTP/1.1, 304, 0.000513
127.0.0.1, 2015-06-16 09:32:37, GET, /admin/static/_2.11.2/images/folder.png, HTTP/1.1, 304, 0.000572
127.0.0.1, 2015-06-16 09:32:37, GET, /admin/static/_2.11.2/images/folder_locked.png, HTTP/1.1, 304, 0.000960
127.0.0.1, 2015-06-16 09:32:37, GET, /admin/static/_2.11.2/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000512
127.0.0.1, 2015-06-16 09:32:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000395
127.0.0.1, 2015-06-16 09:32:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000261
127.0.0.1, 2015-06-16 09:32:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000405
127.0.0.1, 2015-06-16 12:01:30, GET, /admin/default/site, HTTP/1.1, 303, 0.090386
127.0.0.1, 2015-06-16 12:01:31, GET, /admin/default/index, HTTP/1.1, 200, 0.087529
127.0.0.1, 2015-06-16 12:01:31, GET, /admin/static/_2.11.2/css/calendar.css, HTTP/1.1, 304, 0.001031
127.0.0.1, 2015-06-16 12:01:31, GET, /admin/static/_2.11.2/js/calendar.js, HTTP/1.1, 304, 0.001796
127.0.0.1, 2015-06-16 12:01:31, GET, /admin/static/_2.11.2/js/web2py.js, HTTP/1.1, 304, 0.000408
127.0.0.1, 2015-06-16 12:01:31, GET, /admin/static/_2.11.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.002340
127.0.0.1, 2015-06-16 12:01:31, GET, /admin/static/_2.11.2/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001979
127.0.0.1, 2015-06-16 12:01:31, GET, /admin/static/_2.11.2/js/jquery.js, HTTP/1.1, 304, 0.002800
127.0.0.1, 2015-06-16 12:01:31, GET, /admin/static/_2.11.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000600
127.0.0.1, 2015-06-16 12:01:31, GET, /admin/static/_2.11.2/css/bootstrap.min.css, HTTP/1.1, 304, 0.000562
127.0.0.1, 2015-06-16 12:01:31, GET, /admin/static/_2.11.2/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000886
127.0.0.1, 2015-06-16 12:01:31, GET, /admin/static/_2.11.2/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001796
127.0.0.1, 2015-06-16 12:01:31, GET, /admin/static/_2.11.2/js/bootstrap.min.js, HTTP/1.1, 304, 0.000531
127.0.0.1, 2015-06-16 12:01:31, GET, /admin/static/_2.11.2/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.001104
127.0.0.1, 2015-06-16 12:01:31, GET, /admin/static/_2.11.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000597
127.0.0.1, 2015-06-16 12:01:31, GET, /admin/static/_2.11.2/images/questions.png, HTTP/1.1, 304, 0.000438
127.0.0.1, 2015-06-16 12:01:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000381
127.0.0.1, 2015-06-16 12:01:33, POST, /admin/default/index, HTTP/1.1, 200, 0.149353
127.0.0.1, 2015-06-16 12:01:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000417
127.0.0.1, 2015-06-16 12:01:36, POST, /admin/default/index, HTTP/1.1, 303, 0.037038
127.0.0.1, 2015-06-16 12:01:36, GET, /admin/default/site, HTTP/1.1, 200, 0.074997
127.0.0.1, 2015-06-16 12:01:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000705
127.0.0.1, 2015-06-16 12:01:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000390
127.0.0.1, 2015-06-16 12:01:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000248
127.0.0.1, 2015-06-16 12:01:36, POST, /admin/default/check_version, HTTP/1.1, 200, 0.551378
127.0.0.1, 2015-06-16 12:01:44, GET, /admin/default/reload_routes, HTTP/1.1, 303, 0.203947
127.0.0.1, 2015-06-16 12:01:44, GET, /admin/default/site, HTTP/1.1, 200, 0.141439
127.0.0.1, 2015-06-16 12:01:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000428
127.0.0.1, 2015-06-16 12:01:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000386
127.0.0.1, 2015-06-16 12:01:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000353
127.0.0.1, 2015-06-16 12:01:51, POST, /admin/default/check_version, HTTP/1.1, 200, 0.203441
127.0.0.1, 2015-06-16 12:01:53, GET, /admin/default/site, HTTP/1.1, 200, 0.048815
127.0.0.1, 2015-06-16 12:01:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000324
127.0.0.1, 2015-06-16 12:01:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000395
127.0.0.1, 2015-06-16 12:01:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000242
127.0.0.1, 2015-06-16 12:01:55, GET, /examples/default/documentation, HTTP/1.1, 200, 0.081590
127.0.0.1, 2015-06-16 12:01:58, GET, /admin/default/site, HTTP/1.1, 200, 0.084682
127.0.0.1, 2015-06-16 12:01:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000439
127.0.0.1, 2015-06-16 12:01:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000379
127.0.0.1, 2015-06-16 12:01:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000248
